Rank,State,Population Density
1,"Washington, D. C.","11,004.14"
2,New Jersey,"1,283.40"
3,Rhode Island,"1,074.30"
4,Massachusetts,919.82
5,Connecticut,746.7
6,Maryland,648.84
7,Delaware,514.941
8,New York,433.9
9,Florida,416.96
10,Pennsylvania,292.62
11,Ohio,290.7
12,California,258.21
13,Hawaii,231.01
14,Illinois,230.68
15,Virginia,223.36
16,North Carolina,220.3
17,Indiana,191.93
18,Georgia,191.59
19,Michigan,179.26
20,South Carolina,175.19
21,Tennessee,171.71
22,New Hampshire,155.91
23,Washington,120.37
24,Texas,116.16
25,Kentucky,115.38
26,Wisconsin,109.97
27,Louisiana,108.67
28,Alabama,100.65
29,Missouri,90.26
30,West Virginia,73.88
31,Minnesota,73.18
32,Vermont,70.34
33,Arizona,64.96
34,Mississippi,63.07
35,Oklahoma,58.63
36,Arkansas,58.43
37,Iowa,57.89
38,Colorado,57.86
39,Oregon,45.41
40,Maine,44.236
41,Utah,41.67
42,Kansas,36.24
43,Nevada,29.38
44,Nebraska,26.06
45,Idaho,23.24
46,New Mexico,17.6
47,South Dakota,11.98
48,North Dakota,11.75
49,Montana,7.64
50,Wyoming,5.98
51,Alaska,1.3