"state","densityMi","population","TotalArea"
"Alabama",101.5506,5143030,52420
"Alaska",1.28546,733536,665384
"Arizona",65.9982,7497000,113990
"Arkansas",59.36504,3089060,53179
"California",249.64726,38889800,163696
"Colorado",57.06355,5914180,104094
"Connecticut",748.79182,3625650,5543
"Delaware",535.8235,1044320,2489
"District of Columbia",11262.21311,686995,
"Florida",428.45501,22975900,65758
"Georgia",193.78749,11145300,59425
"Hawaii",222.7744,1430880,10932
"Idaho",24.08504,1990460,83569
"Illinois",225.45255,12516900,57914
"Indiana",192.3776,6892120,36420
"Iowa",57.54552,3214320,56273
"Kansas",36.01292,2944380,82278
"Kentucky",114.9962,4540740,40408
"Louisiana",105.53375,4559480,52378
"Maine",45.45959,1402110,35380
"Maryland",638.35583,6196520,12406
"Massachusetts",900.00769,7020060,10554
"Michigan",177.59776,10041200,96714
"Minnesota",72.35649,5761530,86936
"Mississippi",62.66543,2940450,48432
"Missouri",90.41256,6215140,69707
"Montana",7.85147,1142750,147040
"Nebraska",25.88644,1988700,77348
"Nevada",29.2485,3210930,110572
"New Hampshire",156.94181,1405100,9349
"New Jersey",1267.45445,9320860,8723
"New Mexico",17.43862,2115270,121590
"New York",413.13076,19469200,54555
"North Carolina",225.73944,10975000,53819
"North Dakota",11.43375,788940,70698
"Ohio",289.0825,11812200,44826
"Oklahoma",59.60172,4088380,69899
"Oregon",44.0403,4227340,98379
"Pennsylvania",289.4598,12951300,46054
"Rhode Island",1061.97292,1098080,1545
"South Carolina",181.76907,5464160,32020
"South Dakota",12.25108,928767,77116
"Tennessee",174.70595,7204000,42144
"Texas",118.57965,30976800,268596
"Utah",42.0376,3454230,84897
"Vermont",70.28513,647818,9616
"Virginia",221.63332,8752300,42775
"Washington",117.99205,7841280,71298
"West Virginia",73.47159,1766110,24230
"Wisconsin",109.51974,5931370,65496
"Wyoming",6.04045,586485,97813
"United States",,,3796677